Mean_time	Mean_qlow	Mean_qup	Priors
t_n1182_Menispermaceae	96.409	91.84	108.37	ST(0.925,0.036,4.382,2.831)
t_n1183_Ranunculaceae	74.296	65.33	92.41	ST(0.65,0.1,76.684,2.991)
t_n1184	52.133	12.8	80.48	0
t_n1185	28.298	1.22	70.02	0
t_n1186_Berberidaceae	51.93	47.58	62.7	ST(0.475,0.048,22.374,3.075)
t_n1187	52.158	3.14	94.47	0
t_n1188_Lardizabalaceae	122.607	116.57	136.16	ST(1.177,0.391,41.935,4.188)
t_n1189	80.393	22.62	118.87	0
t_n1190	43.383	2.01	98.61	0
t_n1191	82.923	22.93	127.06	0
t_n1192	44.571	2.12	101.21	0
t_n1193	134.258	117.13	151.97	0
t_n1194	127.609	110.51	147.14	0
t_n1195	121.696	106.05	141.42	0
t_n1196	114.041	100.64	133.04	0
t_n1197	107.411	96	123.85	0
t_n1198_Arecaceae	97.948	90.91	108.27	ST(0.889,0.04,3.358,6.699)
t_n1199	95.721	89.14	104.72	0
t_n1200_Poales	80.766	73.17	92.67	ST(0.725,0.073,152.76,7.459)
t_n1201_Poaceae	74.934	70.2	84.52	ST(0.7,0.112,243.296,3.272)
t_n1202	59.374	23.66	78.25	0
t_n1203	41.548	8.14	72.56	0
t_n1204	22.724	0.82	59.69	0
t_n1205_Typhaceae	69.899	64.36	79.97	ST(0.649,0.073,8.212,2.484)
t_n1206	36.959	2.19	71.72	0
t_n1207	93.6	87.53	101.81	0
t_n1208_Zingiberales	91.008	85.72	97.07	ST(0.894,0.076,6.699,2.768)
t_n1209	49.244	3.08	88.26	0
t_n1210	50.781	3.19	92.16	0
t_n1211	53.288	3.37	97.11	0
t_n1212_Asparagales	99.169	86.92	115.37	ST(0.7,0.125,480.96,3.111)
t_n1213	88.494	67.81	107.41	0
t_n1214	78.989	50.68	101.54	0
t_n1215	69.866	36.55	94.96	0
t_n1216	60.24	25.51	85.93	0
t_n1217	42.185	8.67	75.16	0
t_n1218	23.059	0.84	62.7	0
t_n1219	42.138	8.62	75.29	0
t_n1220	23.012	0.83	62.35	0
t_n1221_Orchidaceae	91.659	82.71	106.11	ST(0.847,0.631,31.109,9.444)
t_n1222	76.951	21.73	115.6	0
t_n1223	41.858	1.91	94.95	0
t_n1224	112.799	101.16	131.01	0
t_n1225_Pandanales	105.714	98.75	119.23	ST(0.999,0.178,15.179,3.416)
t_n1226_Alismatales	92.528	82.9	115.8	ST(0.825,0.07,274.653,3.588)
t_n1227	78.815	48.55	103.85	0
t_n1228	62.432	23.03	92.74	0
t_n1229	33.944	1.65	75.06	0
t_n1230	34.095	1.64	75.31	0
t_n1231	43.413	2.4	84.28	0
t_n1232_Araceae	76.788	72.63	86.64	ST(0.725,0.044,34.814,2.98)
t_n1233	55.312	14.06	78.41	0
t_n1234	29.97	1.26	70.86	0
t_n1235	138.448	125.38	154.26	0
t_n1236	132.475	120.5	148.52	0
t_n1237_Laurales	124.037	116.03	135.85	ST(1.15,0.073,528.2,8.591)
t_n1238	119.761	112.85	130.46	0
t_n1239_Lauraceae	115.693	110.87	124.16	ST(1.121,0.087,8.551,2.26)
t_n1240_Monimiaceae	99.88	84.18	116.17	ST(0.833,0.386,47.392,3.721)
t_n1241	53.849	3.45	102.07	0
t_n1242	53.725	3.24	101.82	0
t_n1243	60.255	4.11	110.67	0
t_n1244	103.115	84.28	121.29	0
