Mean_time	Mean_qlow	Mean_qup	Priors
t_n1190	45.702	2.27	100.19	0
t_n1191	85.547	25.53	126.77	0
t_n1192	47.342	2.42	105.1	0
t_n1193	130.611	120.42	147.5	0
t_n1194	125.737	115.35	138.27	0
t_n1195	122.41	111.01	129.38	0
t_n1196	117.473	104.04	127.82	0
t_n1197	111.954	99.58	124.38	0
t_n1198_Arecaceae	98.485	93.33	100.92	B(0.88,1.01,1e-300,1e-300)
t_n1199	96.334	91.12	100.33	0
t_n1200_Poales	86.424	75.5	92.76	B(0.73,0.93,1e-300,1e-300)
t_n1201_Poaceae	78.699	70.42	90	B(0.7,1.14,1e-300,1e-300)
t_n1202	62.321	28.18	83.5	0
t_n1203	45.713	9.76	74.27	0
t_n1204	26.424	0.99	62.14	0
t_n1205_Typhaceae	74.369	65.3	88.96	B(0.65,1,1e-300,1e-300)
t_n1206	42.503	2.64	77.55	0
t_n1207	94.256	89.75	99.26	0
t_n1208_Zingiberales	91.813	89.09	97.1	B(0.89,1.23,1e-300,1e-300)
t_n1209	50.866	3.41	89.38	0
t_n1210	52.266	3.81	92.34	0
t_n1211	54.469	3.85	97.01	0
t_n1212_Asparagales	105.366	91.73	118.5	B(0.7,1.2,1e-300,1e-300)
t_n1213	93.481	67.24	113.13	0
t_n1214	82.733	54.53	105.97	0
t_n1215	72.555	43.1	98.56	0
t_n1216	62.782	30.81	91.31	0
t_n1217	46.01	10.17	78.87	0
t_n1218	26.53	1	63.36	0
t_n1219	45.895	10.29	78.69	0
t_n1220	26.425	1	63.56	0
t_n1221_Orchidaceae	95.57	86.4	111.68	B(0.86,2.61,1e-300,1e-300)
t_n1222	79.735	23.93	119.64	0
t_n1223	44.564	2.28	97.69	0
t_n1224	115.55	103.01	127.34	0
t_n1225_Pandanales	108.153	100.27	122.01	B(1,1.69,1e-300,1e-300)
t_n1226_Alismatales	99.682	84.92	109.64	B(0.83,1.1,1e-300,1e-300)
t_n1227	84.176	53.14	105.57	0
t_n1228	66.24	26.44	97.22	0
t_n1229	37.946	1.98	79.65	0
t_n1230	38.047	2.03	79.96	0
t_n1231	47.508	3.1	91.52	0
t_n1232_Araceae	81.399	73.46	89.54	B(0.73,0.9,1e-300,1e-300)
t_n1233	58.443	17.11	83.75	0
t_n1234	33.73	1.58	70.54	0
t_n1235	136.944	126.48	150.21	0
t_n1236	132.1	123.78	147.5	0
t_n1237_Laurales	126.351	118.04	134.08	B(1.15,1.35,1e-300,1e-300)
t_n1238	122.51	114.33	129.22	0
