Mean_time	Mean_qlow	Mean_qup	Priors
t_n1031	23.316	13.49	41.79	0
t_n1032	63.821	58.52	67.44	0
t_n1033_Campanulaceae	51.795	42.27	59.48	B(0.21,0.92,1e-300,1e-300)
t_n1034	48.115	38.85	56.05	0
t_n1035	43.041	31.54	52.12	0
t_n1036	22.046	13.95	33.41	0
t_n1037	25.236	16.07	39.57	0
t_n1038	54.336	42.74	62.71	0
t_n1039	37.015	20.73	51.86	0
t_n1040	17.927	5.66	29.57	0
t_n1041	101.804	86.58	110.54	0
t_n1042	85.629	62.17	101.86	0
t_n1043	70.71	46.71	94.92	0
t_n1044	60.221	29.96	88.07	0
t_n1045	28.662	16.31	52.77	0
t_n1046	18.326	5.41	33.26	0
t_n1047	65.314	43.17	89.63	0
t_n1048	55.5	32.9	80.5	0
t_n1049	110.787	105.71	115.04	0
t_n1050	109.498	104.03	114.1	0
t_n1051	101.134	94.83	106.48	0
t_n1052	98.263	91.04	103.58	0
t_n1053	96.635	89.31	102.07	0
t_n1054_Lamiales	84.827	76.19	93.82	B(0.75,0.99,1e-300,1e-300)
t_n1055	77.6	67.32	87.17	0
t_n1056	74.929	64.57	84.56	0
t_n1057	64.556	54.74	74.05	0
t_n1058	59.995	50.5	68.97	0
t_n1059	58.562	49.16	67.54	0
t_n1060	57.397	48.08	66.37	0
t_n1061	56.718	47.44	65.8	0
t_n1062	54.106	44.12	63.82	0
t_n1063	45.362	30.87	56.64	0
t_n1064	43.159	28.19	54.83	0
t_n1065	32.305	19.27	46.83	0
t_n1066	43.861	21.98	58.34	0
t_n1067	54.736	45.05	64.3	0
t_n1068	51.144	40.92	61.61	0
t_n1069	46.326	34.43	57.57	0
t_n1070	57.596	46.4	67.37	0
t_n1071	46.035	26.21	60.4	0
t_n1072	56.45	43.97	67.57	0
t_n1073	51.454	37.11	64.33	0
t_n1074	39.606	17.85	64.24	0
t_n1075_Solanales	88.276	76.43	96.55	B(0.56,1.02,1e-300,1e-300)
t_n1076	78.357	62.68	89.87	0
t_n1077	27.036	17.57	48.61	0
t_n1078	21.38	12.88	40.49	0
t_n1079	45.504	24.75	63.28	0
t_n1080	78.15	62.46	89.84	0
t_n1081	59.345	41.62	77	0
t_n1082	94.915	86.67	100.93	0
t_n1083_Gentianales	79.587	73.28	89.88	B(0.73,1,1e-300,1e-300)
t_n1084	69.898	56.35	82.86	0
t_n1085	66.191	52.17	79.72	0
t_n1086	62.581	48.21	77.16	0
t_n1087	38.545	20.05	57.03	0
t_n1088	62.297	45.52	78.45	0
t_n1089	54.625	37.49	72	0
t_n1090_Boraginaceae	65.428	55.62	83.36	B(0.55,0.97,1e-300,1e-300)
t_n1091	61.582	48.23	80.13	0
t_n1092	101.224	82.89	111.87	0
t_n1093_Garryales	81.858	65.51	100.41	B(0.65,1.08,1e-300,1e-300)
t_n1094_Ericales	113.723	113.02	115.45	B(1.13,1.58,1e-300,1e-300)
t_n1095	105.577	93.5	112.27	0
t_n1096	97.892	80.88	106.3	0
t_n1097	97.19	80.2	105.63	0
t_n1098	90.658	72.18	101.83	0
t_n1099	89.389	70.53	100.87	0
t_n1100	80.237	60.55	96.38	0
t_n1101	66.151	47.49	85.61	0
t_n1102	55.962	37.34	77.17	0
t_n1103	69.87	47.78	89.56	0
t_n1104	73.602	49.76	92.76	0
t_n1105	95.927	78.89	104.77	0
t_n1106_Primulaceae	89.785	73.1	100.18	B(0.7,1.23,1e-300,1e-300)
t_n1107	69.838	52.72	85.33	0
t_n1108	54.198	38.11	70.32	0
t_n1109	36.963	20.62	54.46	0
t_n1110	80.403	49.53	98.9	0
t_n1111	88.479	62.88	101.55	0
t_n1112	6.051	0.05	28.6	0
t_n1113	63.014	43.09	87.39	0
t_n1114	55.943	35.25	80.19	0
t_n1115_Cornales	103.518	91.34	115.35	B(0.9,1.2,1e-300,1e-300)
t_n1116	99.255	83.64	112.78	0
t_n1117	77.6	48.39	100.73	0
t_n1118	44.699	19.43	74.85	0
t_n1119	95.185	74.35	109.68	0
t_n1120_Caryophyllales	107.05	99.52	113.38	B(0.89,1.47,1e-300,1e-300)
t_n1121	101.38	92.64	108.57	0
t_n1122	97.193	86.99	104.68	0
